"Gene_Name","Gene_ID","CCDB_ID","DDOC_ID","DDPC_ID","DDEC_ID"
"SERPINA3","12","No Record Found","No Record Found","No Record Found","No Record Found"
"ADD3","120","No Record Found","No Record Found","No Record Found","No Record Found"
"PARP1","142","No Record Found","No Record Found","No Record Found","No Record Found"
"AKT1","207","No Record Found","14","37","No Record Found"
"ALPPL2","251","No Record Found","No Record Found","No Record Found","No Record Found"
"ANXA2","302","302","No Record Found","50","19"
"APC","324","324","No Record Found","52","22"
"BIRC5","332","332","No Record Found","72","38"
"FAS","355","No Record Found","No Record Found","237","147"
"AR","367","No Record Found","20","55","25"
"AREG","374","No Record Found","No Record Found","56","26"
"RHOC","389","No Record Found","No Record Found","No Record Found","398"
"ATR","545","No Record Found","29","No Record Found","No Record Found"
"KIF1A","547","No Record Found","No Record Found","No Record Found","No Record Found"
"CCND1","595","595","63","98","53"
"BCL2L1","598","598","44","69","37"
"CEACAM1","634","634","No Record Found","126","No Record Found"
"FOXL2","668","No Record Found","No Record Found","No Record Found","No Record Found"
"BRAF","673","673","51","81","No Record Found"
"BST2","684","684","No Record Found","No Record Found","No Record Found"
"C8A","731","No Record Found","No Record Found","No Record Found","No Record Found"
"DDR1","780","No Record Found","127","183","104"
"CAPG","822","No Record Found","No Record Found","No Record Found","No Record Found"
"CAPZA1","829","No Record Found","No Record Found","No Record Found","No Record Found"
"CASP3","836","No Record Found","60","No Record Found","No Record Found"
"CASP7","840","No Record Found","No Record Found","No Record Found","No Record Found"
"RUNX1","861","861","No Record Found","No Record Found","No Record Found"
"RUNX1T1","862","No Record Found","No Record Found","No Record Found","No Record Found"
"CCNA2","890","No Record Found","No Record Found","No Record Found","51"
"CCNE1","898","898","No Record Found","No Record Found","54"
"CD44","960","960","67","106","56"
"CD69","969","No Record Found","No Record Found","No Record Found","No Record Found"
"CDC25B","994","No Record Found","78","113","62"
"CDH1","999","999","81","117","63"
"CDH3","1001","1001","No Record Found","No Record Found","No Record Found"
"CDH6","1004","No Record Found","No Record Found","No Record Found","No Record Found"
"CDK4","1019","No Record Found","84","No Record Found","67"
"CDKN1A","1026","1026","85","123","68"
"CDKN1B","1027","1027","86","124","69"
"CDKN2A","1029","1029","88","125","70"
"CDKN3","1033","No Record Found","No Record Found","No Record Found","No Record Found"
"CNR2","1269","No Record Found","No Record Found","140","No Record Found"
"CNTF","1270","No Record Found","No Record Found","No Record Found","No Record Found"
"COL3A1","1281","No Record Found","No Record Found","No Record Found","No Record Found"
"COL4A5","1287","No Record Found","No Record Found","No Record Found","84"
"COX7A1","1346","No Record Found","No Record Found","No Record Found","No Record Found"
"CRABP2","1382","1382","No Record Found","No Record Found","No Record Found"
"CREB1","1385","No Record Found","No Record Found","145","No Record Found"
"CSNK2B","1460","No Record Found","No Record Found","No Record Found","No Record Found"
"CTNNB1","1499","1499","115","155","96"
"CTNND1","1500","No Record Found","No Record Found","No Record Found","No Record Found"
"CTSB","1508","No Record Found","116","156","97"
"CTSD","1509","No Record Found","117","No Record Found","98"
"CTSH","1512","1512","No Record Found","157","No Record Found"
"CTSW","1521","No Record Found","No Record Found","No Record Found","No Record Found"
"CYP1A1","1543","No Record Found","No Record Found","166","No Record Found"
"CYP1B1","1545","No Record Found","123","167","No Record Found"
"CYP3A7","1551","No Record Found","No Record Found","No Record Found","No Record Found"
"CYP17A1","1586","No Record Found","No Record Found","164","No Record Found"
"CYP19A1","1588","No Record Found","No Record Found","165","No Record Found"
"DACH1","1602","No Record Found","No Record Found","No Record Found","No Record Found"
"DARS","1615","No Record Found","No Record Found","No Record Found","No Record Found"
"DLX5","1749","No Record Found","No Record Found","No Record Found","No Record Found"
"DNMT1","1786","1786","133","186","110"
"DPP6","1804","No Record Found","No Record Found","No Record Found","No Record Found"
"SLC26A2","1836","No Record Found","No Record Found","No Record Found","No Record Found"
"ECM2","1842","No Record Found","No Record Found","No Record Found","No Record Found"
"TYMP","1890","No Record Found","144","674","118"
"EDNRB","1910","No Record Found","No Record Found","No Record Found","No Record Found"
"EFNB2","1948","No Record Found","No Record Found","No Record Found","122"
"EGF","1950","No Record Found","150","200","124"
"EGFR","1956","1956","151","201","125"
"EIF4EBP1","1978","No Record Found","No Record Found","205","No Record Found"
"ELF1","1997","No Record Found","No Record Found","No Record Found","No Record Found"
"ELF5","2001","No Record Found","No Record Found","No Record Found","No Record Found"
"EMP2","2013","No Record Found","No Record Found","No Record Found","No Record Found"
"ENSA","2029","No Record Found","No Record Found","No Record Found","No Record Found"
"EPHB2","2048","No Record Found","156","No Record Found","No Record Found"
"EPHB4","2050","No Record Found","157","213","135"
"ERBB2","2064","2064","161","216","136"
"ESR1","2099","2099","No Record Found","223","141"
"ESR2","2100","2100","No Record Found","224","No Record Found"
"ETS1","2113","No Record Found","168","227","142"
"ETV5","2119","No Record Found","No Record Found","230","No Record Found"
"F10","2159","No Record Found","No Record Found","No Record Found","No Record Found"
"F13A1","2162","No Record Found","No Record Found","No Record Found","No Record Found"
"FBN1","2200","No Record Found","No Record Found","No Record Found","No Record Found"
"EFEMP1","2202","No Record Found","No Record Found","No Record Found","No Record Found"
"FGF2","2247","No Record Found","No Record Found","240","No Record Found"
"FGFR1","2260","No Record Found","No Record Found","No Record Found","152"
"FHIT","2272","No Record Found","No Record Found","246","154"
"FOXC1","2296","No Record Found","No Record Found","No Record Found","No Record Found"
"FOLH1","2346","No Record Found","No Record Found","251","No Record Found"
"FUCA1","2517","No Record Found","No Record Found","No Record Found","No Record Found"
"GAD1","2571","No Record Found","No Record Found","No Record Found","No Record Found"
"GAS6","2621","No Record Found","182","No Record Found","No Record Found"
"SFN","2810","2810","No Record Found","573","425"
"GP2","2813","No Record Found","No Record Found","No Record Found","No Record Found"
"NR3C1","2908","No Record Found","No Record Found","No Record Found","No Record Found"
"GSTP1","2950","2950","193","286","No Record Found"
"GZMA","3001","No Record Found","No Record Found","No Record Found","No Record Found"
"HDAC2","3066","No Record Found","No Record Found","289","No Record Found"
"HGD","3081","No Record Found","No Record Found","No Record Found","No Record Found"
"HIF1A","3091","No Record Found","196","292","183"
"HMGB1","3146","3146","No Record Found","297","No Record Found"
"FOXA1","3169","No Record Found","No Record Found","252","161"
"FOXA2","3170","No Record Found","No Record Found","253","No Record Found"
"SLC29A2","3177","No Record Found","No Record Found","No Record Found","No Record Found"
"HOXA10","3206","No Record Found","No Record Found","No Record Found","190"
"HOXA11","3207","No Record Found","No Record Found","No Record Found","No Record Found"
"HP","3240","No Record Found","No Record Found","No Record Found","No Record Found"
"HSPA8","3312","No Record Found","No Record Found","No Record Found","No Record Found"
