"Gene_Name","Gene_ID","HPRD_ID","Molecular_Class","Molecular_Function","Biological_Process"
"SERPINA3","12","HPRD:00120","Protease inhibitor","Protease inhibitor activity","Protein metabolism"
"ADD3","120","HPRD:03339","Cytoskeletal associated protein","Cytoskeletal protein binding","Cell growth and/or maintenance"
"PARP1","142","HPRD:01435","Enzyme: Ribosyltransferase","Catalytic activity","Protein metabolism"
"AKT1","207","HPRD:01261","Serine/threonine kinase","Protein serine/threonine kinase activity","Cell communication ; Signal transduction"
"ALPPL2","251","HPRD:01380","Enzyme: Alkaline phosphatase","Alkaline phosphatase activity","Metabolism ; Energy pathways"
"ANXA2","302","HPRD:01061","Calcium binding protein","Calcium binding protein","Calcium binding protein"
"APC","324","HPRD:01439","Adhesion molecule","Cell adhesion molecule activity","Cell communication ; Signal transduction"
"BIRC5 ","332","HPRD:04520","Adapter molecule","Receptor signaling complex scaffold activity","Cell communication ; Signal transduction"
"Fas","355","HPRD:00609","Cell surface receptor","Receptor activity","Cell communication ; Signal transduction"
"AR","367","HPRD:02437","Nuclear receptor","Ligand-dependent nuclear receptor activity","Cell communication ; Signal transduction"
"AREG","374","HPRD:00093","Growth factor","Growth factor activity","Cell communication ; Signal transduction"
"RHOC","389","HPRD:01322","GTPase","GTPase activity","Cell communication ; Signal transduction"
"ATR","545","HPRD:08369","Serine/threonine kinase","Protein serine/threonine kinase activity","Cell communication ; Signal transduction"
"KIF1A","547","HPRD:03156","Motor protein","Motor activity","Transport"
"CCND1","595","HPRD:01346","Cell cycle control protein","Kinase binding","Cell communication ; Signal transduction"
"BCL2L1","598","HPRD:02497","Adapter molecule","Receptor signaling complex scaffold activity","Apoptosis"
"CEACAM1","634","HPRD:00191","Adhesion molecule","Molecular function unknown","Signal transduction"
"FOXL2","668","HPRD:05723","Transcription regulatory protein","Transcription regulator activity","Regulation of nucleobase; nucleoside; nucleotide and nucleic acid metabolism"
"BRAF","673","HPRD:01264","Serine/threonine kinase","Protein serine/threonine kinase activity","Cell communication ; Signal transduction"
"BST2","684","HPRD:02759","Integral membrane protein","Molecular function unknown","Immune response"
"C8A","731","HPRD:00409","Complement protein","Complement activity","Immune response"
"DDR1","780","HPRD:02678","Receptor tyrosine kinase","Transmembrane receptor protein tyrosine kinase activity","Cell communication ; Signal transduction"
"CAPG","822","HPRD:01088","Cytoskeletal associated protein","Cytoskeletal protein binding","Cell growth and/or maintenance"
"CAPZA1","829","HPRD:03347","Structural protein","Structural molecule activity","Cell growth and/or maintenance"
"CASP3","836","HPRD:02799","Cysteine protease","Cysteine-type peptidase activity","Apoptosis"
"CASP7","840","HPRD:03457","Cysteine protease","Cysteine-type peptidase activity","Apoptosis"
"RUNX1","861","HPRD:01043","Transcription factor","Transcription factor activity","Regulation of nucleobase; nucleoside; nucleotide and nucleic acid metabolism"
"RUNX1T1","862","HPRD:00590","Transcription regulatory protein","Transcription factor binding","Regulation of gene expression; epigenetic"
"CCNA2","890","HPRD:00453","Cell cycle control protein","Kinase binding","Cell communication ; Signal transduction"
"CCNE1","898","HPRD:00455","Cell cycle control protein","Kinase binding","Cell communication ; Signal transduction"
"CD44","960","HPRD:00115","Cell surface receptor","Receptor activity","Cell communication ; Signal transduction"
"CD69","969","HPRD:00119","Cell surface receptor","Receptor activity","Immune response"
"CDC25B","994","HPRD:00307","Dual specificity phosphatase","Protein tyrosine/serine/threonine phosphatase activity","Cell communication ; Signal transduction"
"CDH1","999","HPRD:01885","Adhesion molecule","Cell adhesion molecule activity","Cell communication ; Signal transduction"
"CDH3","1001","HPRD:00227","Adhesion molecule","Cell adhesion molecule activity","Cell communication ; Signal transduction"
"CDH6","1004","HPRD:04305","Adhesion molecule","Cell adhesion molecule activity","Cell communication ; Signal transduction"
"CDK4","1019","HPRD:00447","Cell cycle control protein","Kinase activity","Cell communication ; Signal transduction"
"CDKN1A","1026","HPRD:00298","Cell cycle control protein","Kinase regulator activity","Regulation of cell cycle"
