"Gene_Name","Gene_ID","KEGG_ID","Pathway_Name","EC_No"
"ABCB1","5243","hsa02010","ABC transporters","3.6.3.44"
"ABCB1","5243","hsa04976","Bile secretion","3.6.3.44"
"ABCC3","8714","hsa02010","ABC transporters","-"
"ABCC3","8714","hsa04976","Bile secretion","-"
"ACOT2","10965","hsa01040","Biosynthesis of unsaturated fatty acids","3.1.2.2"
"ADAM3","80332","-","-","-"
"ADAM9","8754","-","-","-"
"ADAMTS5","11096","-","-","-"
"ADD3","120","-","-","-"
"AGR2","10551","-","-","-"
"AKT1","207","hsa04010","MAPK signaling pathway","2.7.11.1"
"AKT1","207","hsa04012","ErbB signaling pathway","2.7.11.1"
"AKT1","207","hsa04062","Chemokine signaling pathway","2.7.11.1"
"AKT1","207","hsa04150","mTOR signaling pathway","2.7.11.1"
"AKT1","207","hsa04210","Apoptosis","2.7.11.1"
"AKT1","207","hsa04370","VEGF signaling pathway","2.7.11.1"
"AKT1","207","hsa04380","Osteoclast differentiation","2.7.11.1"
"AKT1","207","hsa04510","Focal adhesion","2.7.11.1"
"AKT1","207","hsa04530","Tight junction","2.7.11.1"
"AKT1","207","hsa04620","Toll-like receptor signaling pathway","2.7.11.1"
"AKT1","207","hsa04630","Jak-STAT signaling pathway","2.7.11.1"
"AKT1","207","hsa04660","T cell receptor signaling pathway","2.7.11.1"
"AKT1","207","hsa04662","B cell receptor signaling pathway","2.7.11.1"
"AKT1","207","hsa04664","Fc epsilon RI signaling pathway","2.7.11.1"
"AKT1","207","hsa04666","Fc gamma R-mediated phagocytosis","2.7.11.1"
"AKT1","207","hsa04722","Neurotrophin signaling pathway","2.7.11.1"
"AKT1","207","hsa04910","Insulin signaling pathway","2.7.11.1"
"AKT1","207","hsa04914","Progesterone-mediated oocyte maturation","2.7.11.1"
"AKT1","207","hsa04920","Adipocytokine signaling pathway","2.7.11.1"
"AKT1","207","hsa04973","Carbohydrate digestion and absorption","2.7.11.1"
"AKT1","207","hsa05142","Chagas disease (American trypanosomiasis)","2.7.11.1"
"AKT1","207","hsa05145","Toxoplasmosis","2.7.11.1"
"AKT1","207","hsa05160","Hepatitis C","2.7.11.1"
"AKT1","207","hsa05162","Measles","2.7.11.1"
"AKT1","207","hsa05200","Pathways in cancer","2.7.11.1"
"AKT1","207","hsa05210","Colorectal cancer","2.7.11.1"
"AKT1","207","hsa05211","Renal cell carcinoma","2.7.11.1"
"AKT1","207","hsa05212","Pancreatic cancer","2.7.11.1"
"AKT1","207","hsa05213","Endometrial cancer","2.7.11.1"
"AKT1","207","hsa05214","Glioma","2.7.11.1"
"AKT1","207","hsa05215","Prostate cancer","2.7.11.1"
"AKT1","207","hsa05218","Melanoma","2.7.11.1"
"AKT1","207","hsa05220","Chronic myeloid leukemia","2.7.11.1"
"AKT1","207","hsa05221","Acute myeloid leukemia","2.7.11.1"
"AKT1","207","hsa05222","Small cell lung cancer","2.7.11.1"
"AKT1","207","hsa05223","Non-small cell lung cancer","2.7.11.1"
"ALDH1A2","8854","hsa00830","Retinol metabolism","1.2.1.36"
"ALDH1A2","8854","hsa01100","Metabolic pathways","1.2.1.36"
"ALPPL2","251","hsa00790","Folate biosynthesis","3.1.3.1"
"ALPPL2","251","hsa01100","Metabolic pathways","3.1.3.1"
"ANXA2","302","-","-","-"
"APC","324","hsa04310","Wnt signaling pathway","-"
"APC","324","hsa04810","Regulation of actin cytoskeleton","-"
"APC","324","hsa05200","Pathways in cancer","-"
"APC","324","hsa05210","Colorectal cancer","-"
"APC","324","hsa05213","Endometrial cancer","-"
"APC","324","hsa05217","Basal cell carcinoma","-"
"AR","367","hsa04114","Oocyte meiosis","-"
"AR","367","hsa05200","Pathways in cancer","-"
"AR","367","hsa05215","Prostate cancer","-"
"AREG","374","hsa04012","ErbB signaling pathway","-"
"ARL4A","10124","-","-","-"
"ASRGL1","80150","-","-","3.5.1.1"
"ATAD2","29028","-","-","3.6.1.3"
"ATP2C2","9914","-","-","3.6.3.8"
"ATP8A2","51761","-","-","3.6.3.1"
"ATP8B2","57198","-","-","3.6.3.1"
"ATP9B","374868","-","-","3.6.3.1"
"ATR","545","hsa04110","Cell cycle","2.7.11.1"
"ATR","545","hsa04115","p53 signaling pathway","2.7.11.1"
"ATR","545","hsa04110","Cell cycle","2.7.11.1"
"B3GAT3","26229","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate","2.4.1.135"
"B3GAT3","26229","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate","2.4.1.135"
"B3GAT3","26229","hsa01100","Metabolic pathways","2.4.1.135"
"BAMBI","25805","-","-","-"
"BCAM","4059","-","-","-"
"BCL2L1","598","hsa04210","Apoptosis","-"
"BCL2L1","598","hsa04630","Jak-STAT signaling pathway","-"
"BCL2L1","598","hsa05014","Amyotrophic lateral sclerosis (ALS)","-"
"BCL2L1","598","hsa05145","Toxoplasmosis","-"
"BCL2L1","598","hsa05200","Pathways in cancer","-"
"BCL2L1","598","hsa05212","Pancreatic cancer","-"
"BCL2L1","598","hsa05220","Chronic myeloid leukemia","-"
"BCL2L1","598","hsa05222","Small cell lung cancer","-"
"BEX5","340542","-","-","-"
"BIRC5 ","332","hsa05200","Pathways in cancer","-"
"BIRC5 ","332","hsa05210","Colorectal cancer","-"
"BRAF","673","hsa04010","MAPK signaling pathway","2.7.11.1"
"BRAF","673","hsa04012","ErbB signaling pathway","2.7.11.1"
"BRAF","673","hsa04062","Chemokine signaling pathway","2.7.11.1"
"BRAF","673","hsa04150","mTOR signaling pathway","2.7.11.1"
"BRAF","673","hsa04270","Vascular smooth muscle contraction","2.7.11.1"
"BRAF","673","hsa04510","Focal adhesion","2.7.11.1"
"BRAF","673","hsa04650","Natural killer cell mediated cytotoxicity","2.7.11.1"
"BRAF","673","hsa04720","Long-term potentiation","2.7.11.1"
"BRAF","673","hsa04722","Neurotrophin signaling pathway","2.7.11.1"
"BRAF","673","hsa04730","Long-term depression","2.7.11.1"
"BRAF","673","hsa04810","Regulation of actin cytoskeleton","2.7.11.1"
"BRAF","673","hsa04910","Insulin signaling pathway","2.7.11.1"
"BRAF","673","hsa04914","Progesterone-mediated oocyte maturation","2.7.11.1"
"BRAF","673","hsa05160","Hepatitis C","2.7.11.1"
"BRAF","673","hsa05200","Pathways in cancer","2.7.11.1"
"BRAF","673","hsa05210","Colorectal cancer","2.7.11.1"
"BRAF","673","hsa05211","Renal cell carcinoma","2.7.11.1"
"BRAF","673","hsa05212","Pancreatic cancer","2.7.11.1"
"BRAF","673","hsa05213","Endometrial cancer","2.7.11.1"
"BRAF","673","hsa05214","Glioma","2.7.11.1"
"BRAF","673","hsa05215","Prostate cancer","2.7.11.1"
"BRAF","673","hsa05216","Thyroid cancer","2.7.11.1"
"BRAF","673","hsa05218","Melanoma","2.7.11.1"
"BRAF","673","hsa05219","Bladder cancer","2.7.11.1"
"BRAF","673","hsa05220","Chronic myeloid leukemia","2.7.11.1"
"BRAF","673","hsa05221","Acute myeloid leukemia","2.7.11.1"
"BRAF","673","hsa05223","Non-small cell lung cancer","2.7.11.1"
"BRAF","673","hsa04010","MAPK signaling pathway","2.7.11.1"
"BRAF","673","hsa04012","ErbB signaling pathway","2.7.11.1"
"BRAF","673","hsa04062","Chemokine signaling pathway","2.7.11.1"
"BRAF","673","hsa04150","mTOR signaling pathway","2.7.11.1"
"BRAF","673","hsa04270","Vascular smooth muscle contraction","2.7.11.1"
"BRAF","673","hsa04510","Focal adhesion","2.7.11.1"
"BRAF","673","hsa04650","Natural killer cell mediated cytotoxicity","2.7.11.1"
"BRAF","673","hsa04720","Long-term potentiation","2.7.11.1"
"BRAF","673","hsa04722","Neurotrophin signaling pathway","2.7.11.1"
"BRAF","673","hsa04730","Long-term depression","2.7.11.1"
"BRAF","673","hsa04810","Regulation of actin cytoskeleton","2.7.11.1"
"BRAF","673","hsa04910","Insulin signaling pathway","2.7.11.1"
"BRAF","673","hsa04914","Progesterone-mediated oocyte maturation","2.7.11.1"
"BRAF","673","hsa05160","Hepatitis C","2.7.11.1"
"BRAF","673","hsa05200","Pathways in cancer","2.7.11.1"
"BRAF","673","hsa05210","Colorectal cancer","2.7.11.1"
"BRAF","673","hsa05211","Renal cell carcinoma","2.7.11.1"
"BRAF","673","hsa05212","Pancreatic cancer","2.7.11.1"
"BRAF","673","hsa05213","Endometrial cancer","2.7.11.1"
"BRAF","673","hsa05214","Glioma","2.7.11.1"
"BRAF","673","hsa05215","Prostate cancer","2.7.11.1"
"BRAF","673","hsa05216","Thyroid cancer","2.7.11.1"
"BRAF","673","hsa05218","Melanoma","2.7.11.1"
"BRAF","673","hsa05219","Bladder cancer","2.7.11.1"
"BRAF","673","hsa05220","Chronic myeloid leukemia","2.7.11.1"
"BRAF","673","hsa05221","Acute myeloid leukemia","2.7.11.1"
"BRAF","673","hsa05223","Non-small cell lung cancer","2.7.11.1"
"BST2","684","-","-","-"
"BTN2A1","11120","-","-","-"
"C19ORF33","64073","-","-","-"
"C19ORF33","64073","-","-","-"
"C1QTNF3","114899","-","-","5.1.99.4"
"C20orf32","25927","-","-","-"
"C8A","731","hsa04610","Complement and coagulation cascades","-"
"C8A","731","hsa05020","Prion diseases","-"
"C8A","731","hsa05146","Amoebiasis","-"
"C8A","731","hsa05322","Systemic lupus erythematosus","-"
"CAPG","822","-","-","-"
"CAPZA1","829","-","-","-"
"CASC2","255082","-","-","-"
"CASC2","255082","-","-","-"
"CASP3","836","hsa04010","MAPK signaling pathway","-"
"CASP3","836","hsa04115","p53 signaling pathway","-"
"CASP3","836","hsa04210","Apoptosis","-"
"CASP3","836","hsa04650","Natural killer cell mediated cytotoxicity","-"
"CASP3","836","hsa05010","Alzheimer's disease","-"
"CASP3","836","hsa05012","Parkinson's disease","-"
"CASP3","836","hsa05014","Amyotrophic lateral sclerosis (ALS)","-"
"CASP3","836","hsa05016","Huntington's disease","-"
"CASP3","836","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","-"
"CASP3","836","hsa05145","Toxoplasmosis","-"
"CASP3","836","hsa05146","Amoebiasis","-"
"CASP3","836","hsa05200","Pathways in cancer","-"
"CASP3","836","hsa05210","Colorectal cancer","-"
"CASP3","836","hsa05416","Viral myocarditis","-"
"CASP7","840","hsa04210","Apoptosis","-"
"CASP7","840","hsa05010","Alzheimer's disease","-"
"CCL2","6347","hsa04060","Cytokine-cytokine receptor interaction","-"
"CCL2","6347","hsa04062","Chemokine signaling pathway","-"
"CCL2","6347","hsa04621","NOD-like receptor signaling pathway","-"
"CCL2","6347","hsa05142","Chagas disease (American trypanosomiasis)","-"
"CCL2","6347","hsa05144","Malaria","-"
"CCL2","6347","hsa05164","Influenza A","-"
"CCL2","6347","hsa05323","Rheumatoid arthritis","-"
"CCL2","6347","hsa04370","VEGF signaling pathway","1.14.99.1"
"CCL20","6364","hsa04060","Cytokine-cytokine receptor interaction","-"
"CCL20","6364","hsa04062","Chemokine signaling pathway","-"
"CCL20","6364","hsa05323","Rheumatoid arthritis","-"
"CCNA2","890","hsa04110","Cell cycle","-"
"CCNA2","890","hsa04914","Progesterone-mediated oocyte maturation","-"
"CCND1","595","hsa04110","Cell cycle","-"
"CCND1","595","hsa04115","p53 signaling pathway","-"
"CCND1","595","hsa04310","Wnt signaling pathway","-"
"CCND1","595","hsa04510","Focal adhesion","-"
"CCND1","595","hsa04630","Jak-STAT signaling pathway","-"
"CCND1","595","hsa05162","Measles","-"
"CCND1","595","hsa05200","Pathways in cancer","-"
"CCND1","595","hsa05210","Colorectal cancer","-"
"CCND1","595","hsa05212","Pancreatic cancer","-"
"CCND1","595","hsa05213","Endometrial cancer","-"
"CCND1","595","hsa05214","Glioma","-"
"CCND1","595","hsa05215","Prostate cancer","-"
"CCND1","595","hsa05216","Thyroid cancer","-"
"CCND1","595","hsa05218","Melanoma","-"
"CCND1","595","hsa05219","Bladder cancer","-"
"CCND1","595","hsa05220","Chronic myeloid leukemia","-"
"CCND1","595","hsa05221","Acute myeloid leukemia","-"
"CCND1","595","hsa05222","Small cell lung cancer","-"
"CCND1","595","hsa05223","Non-small cell lung cancer","-"
"CCND1","595","hsa05416","Viral myocarditis","-"
"CCNE1","898","hsa04110","Cell cycle","-"
"CCNE1","898","hsa04114","Oocyte meiosis","-"
