"Gene_Name","Gene_ID","Gene_Description","Chromosome","Aliases","Pubmed_ID","Homologene_ID","int_protein"
"Gene_Name","0","Gene_Description","Chr","Aliases","Pubmed_ID","0",""
"ABCB1","5243","ABCB1 ATP-binding cassette; sub-family B (MDR/TAP); member 1","7","CLCS; MDR1; P-GP; PGY1; ABC20; CD243; GP170; MGC163296; ABCB1","17300681","55496","CAV1,HAX1,RNF2"
"ABCC3","8714","ABCC3 ATP-binding cassette; sub-family C (CFTR/MRP); member 3","17","MLP2; MRP3; ABC31; MOAT-D; cMOAT2; EST90757; DKFZp686E22157; ABCC3","18949382","68364","NA"
"ACOT2","10965","ACOT2 acyl-CoA thioesterase 2","14","MTE1; PTE2; CTE1A; PTE2A; ZAP128; ACOT2","18949382","25661","NA"
"ADAM3","80332","ADAM33 ADAM metallopeptidase domain 33","20","FLJ35308; FLJ36751; MGC71889; C20orf153; DJ964F7.1; MGC149823; DKFZp434K0521","17043662","11881","NA"
"ADAM9","8754","ADAM9 ADAM metallopeptidase domain 9","8","MCMP; MDC9; CORD9; Mltng; KIAA0021; ADAM9","18949382","20824","ITGA3,ITGA6,ITGAV,MAD2L2,PRKCD,SH3D19,SH3GLB1,SNX9,TNF"
"ADAMTS5","11096","ADAMTS5 ADAM metallopeptidase with thrombospondin type 1 motif; 5","21","ADMP-2; ADAM-TS5; ADAMTS-5; ADAMTS11; FLJ36738; ADAM-TS 5; ADAMTS-11; ADAM-TS 11","17043662","5109","ACAN,MMP13"
"ADD3","120","ADD3 adducin 3 (gamma)","10","ADDL; ADD3","15604243; 18949382  ","40893","PRKCA"
"AGR2","10551","AGR2 anterior gradient homolog 2 (Xenopus laevis)","7","AG2; GOB-4; HAG-2; XAG-2; PDIA17; AGR2","159300340","4674","BRD7,CCDC90B,CRMP1,MED31,POM121,UBQLN4"
"AKT1","207","AKT1 v-akt murine thymoma viral oncogene homolog 1","8","AKT; PKB; RAC; PRKBA; MGC99656; PKB-ALPHA; RAC-ALPHA; AKT1","11309338; 12790783","3785","AHNAK,AKT1,AKT1S1,AKT2,AKTIP,APLP2,APPL1,AR,ATXN1,BAD,BCL10,BCL2L11,BRAF,BRCA1,CAMKK1,CASP3,CASP9,CCDC88A,CDKN1A,CDKN1B,CHEK1,CHUK,CREB1,DLC1,EIF4EBP1,EP300,ESR1,ESR2,EZH2,FANCA,FOXO1,FOXO3,FOXO4,GAB2,GATA1,GATA2,GRB10,GSK3A,GSK3B,HIST2H2BE,HMOX1,HSP90AA1,HSP90AB1,HTT,IKBKB,ILK,IMPDH2,IRAK1,IRS1,ITGB3,KRT10,MAP2K4,MAP3K11,MAP3K5,MAP3K8,MAPK8IP1,MAPKAPK2,MDM2,MDM4,METTL1,MS4A2,MST1R,MTCP1,MTOR,NCF1,NOS3,NR4A1,PAK1,PDE3B,PDK2,PDPK1,PEA15,PFKFB2,PHB2,PIK3R1,PKN2,PLXNA1,PPARGC1B,PPL,PPM1A,PPP2CA,PRG2,PRKCQ,PRKCZ,PRKDC,PTEN,PTPN1,RAB3D,RAC1,RAF1,RHEBL1,RPS6KB1,S1PR1,SH2B2,SMAD2,SMAD3,SMAD4,SMAD7,SORBS2,SRC,STAT1,TCL1A,TCL1B,TCL6,TERT,THEM4,TNFSF11,TOPBP1,TRIB3,TSC1,TSC2,UXS1,VEGFA,WNK1,XIAP,YAP1,YBX1,YWHAZ"
"ALDH1A2","8854","ALDH1A2 aldehyde dehydrogenase 1 family; member A2","15","RALDH2; MGC26444; RALDH2-T; RALDH(II)","17043662","68368","NA"
"ALPPL2","251","ALPPL2 alkaline phosphatase; placental-like 2","2","ALPG; GCAP; ALPPL; ALPPL2","17043662","122137","ALPP,ALPPL2"
"ANXA2","302","ANXA2 annexin A2","15","P36; ANX2; LIP2; LPC2; CAL1H; LPC2D; ANX2L4; PAP-IV; ANXA2","18949382","20857","APOH,CD99,CDC42,CEACAM1,CTSB,DYSF,GRB2,LGALS13,LYPLA1,MAP3K4,MYOC,PHB,PLA1A,PLAT,PLG,PRKCA,PRKCB,S100A10,S100A4,S100A6,SRC"
"APC","324","APC adenomatous polyposis coli","5","GS; DP2; DP3; BTPS2; DP2.5; APC","12097272","30950","APC,ARHGEF4,AXIN1,AXIN2,BUB1,CSNK1E,CTBP1,CTNNB1,DLGAP1,GSK3B,IQGAP1,JUP,KIFAP3,MAPRE1,MUC1,PPP2CA,PPP2R5A,PRKACA,PTPN13,RP1,SIAH1,TFAP2A,TUBA4A"
"AR","367","AR androgen receptor","X","KD; AIS; TFM; DHTR; SBMA; HYSP1; NR3C4; SMAX1; HUMARA; AR","16161040","28","AES,AHR,AKT1,APOL2,APPBP2,AR,ATF2,BAG1,BRCA1,CALM1,CALR,CASP1,CASP3,CASP7,CASP8,CAV1,CCND1,CCNE1,CCNH,CDC25A,CDC25B,CDC37,CDK1,CDK6,CDK7,CDK9,COX5B,CREBBP,CTDSP2,CTNNB1,CUL4B,DAP3,DAXX,DCAF6,DDC,EFCAB6,EGFR,EP300,ESR1,ETV5,FHL2,FLNA,FOXA1,FOXO1,GAK,GAPDH,GNB2L1,GRIP1,GSK3B,GSN,GTF2F1,GTF2F2,GTF2H1,HDAC1,HIF1A,HIPK3,HMGB1,HSP90AA1,IARS,IDE,IFI16,IL6ST,JMJD1C,JUN,KAT2B,KAT5,KDM1A,KIF1A,KLK2,MAPK1,MDM2,MED1,MED14,MYBBP1A,MYST2,NCOA1,NCOA2,NCOA3,NCOA4,NCOR1,NCOR2,NFKB1,NISCH,NONO,NR0B1,NR0B2,NR2C1,NR2C2,NR3C1,NR3C2,NR5A1,NRIP1,NSD1,PA2G4,PAK6,PELP1,PIAS1,PIAS2,PIAS3,PIAS4,PNRC1,PNRC2,POU2F1,POU5F1,PRMT1,PRPF6,PSMC3IP,PTEN,PXN,RAC3,RAD54L2,RAD9A,RAF1,RAN,RANBP9,RB1,RBAK,RCHY1,RELA,RNASEL,RNF14,RNF4,RUNX1,RUNX2,SART3,SLC25A4,SMAD1,SMAD3,SMAD4,SP1,SPDEF,SRC,SRY,STAT3,STUB1,SUMO1,SVIL,TCF4,TGFB1I1,TGIF1,TMF1,TRIM24,TRIP4,TSG101,UBE2I,UBE3A,UXT,WIPI1,XRCC5,XRCC6,ZMIZ1"
"AREG","374","AREG amphiregulin","4","AR; SDGF; AREGB; CRDGF; MGC13647; AREG","15604243","1252","CCND3,EGFR,MMP9,UBQLN4,WT1"
"ARL4A","10124","ARL4A ADP-ribosylation factor-like 4A","7","ARL4; ARL4A","18949382","4194","KPNA2"
