"Gene_Name","Gene_ID","Protein_ID","SwissProt_ID","PDB_ID","Method","Resolution","Chain","Position"
"ABCB1","5243","NP_000918.2","P08183","-","-","0.00","-","-"
"ABCC3","8714","NP_001137542.1","O15438","-","-","0.00","-","-"
"ABCC3","8714","NP_003777.2","O15438","-","-","0.00","-","-"
"ACOT2","10965","NP_006812.3","P49753","3HLK","X-ray","2.10","A/B","46-483"
"ADAM3","80332","NP_079496.1","Q9BZ11","1R54","X-ray","1.85","A","204-409"
"ADAM3","80332","NP_079496.1","Q9BZ11","1R55","X-ray","1.58","A","204-409"
"ADAM3","80332","NP_694882.1","Q9BZ11","1R54","X-ray","1.85","A","204-409"
"ADAM3","80332","NP_694882.1","Q9BZ11","1R55","X-ray","1.58","A","204-409"
"ADAM9","8754","NP_003807.1","Q13443","1M1V","model","0.00","A","208-404"
"ADAMTS5","11096","NP_008969.2","Q9UNA0","2RJQ","X-ray","2.60","A","262-628"
"ADAMTS5","11096","NP_008969.2","Q9UNA0","3B8Z","X-ray","1.40","A/B","264-480"
"ADAMTS5","11096","NP_008969.2","Q9UNA0","3HY7","X-ray","1.69","A/B","262-480"
"ADAMTS5","11096","NP_008969.2","Q9UNA0","3HY9","X-ray","2.02","A/B","262-480"
"ADAMTS5","11096","NP_008969.2","Q9UNA0","3HYG","X-ray","1.40","A/B","262-480"
"ADAMTS5","11096","NP_008969.2","Q9UNA0","3LJT","X-ray","1.60","A","264-480"
"ADD3","120","NP_001112.2","Q9UEY8","-","-","0.00","-","-"
"ADD3","120","NP_058432.1","Q9UEY8","-","-","0.00","-","-"
"ADD3","120","NP_063968.1","Q9UEY8","-","-","0.00","-","-"
"AGR2","10551","NP_006399.1","O95994","-","-","0.00","-","-"
"AKT1","207","NP_001014431.1","P31749","1H10","X-ray","1.40","A","1-123"
"AKT1","207","NP_001014431.1","P31749","1UNP","X-ray","1.65","A","1-121"
"AKT1","207","NP_001014431.1","P31749","1UNQ","X-ray","0.98","A","1-123"
"AKT1","207","NP_001014431.1","P31749","1UNR","X-ray","1.25","A","1-123"
"AKT1","207","NP_001014431.1","P31749","2UVM","X-ray","1.94","A","1-123"
"AKT1","207","NP_001014431.1","P31749","2UZR","X-ray","1.94","A","1-123"
"AKT1","207","NP_001014431.1","P31749","2UZS","X-ray","2.46","A","1-123"
"AKT1","207","NP_001014431.1","P31749","3CQU","X-ray","2.20","A","144-480"
"AKT1","207","NP_001014431.1","P31749","3CQW","X-ray","2.00","A","144-480"
"AKT1","207","NP_001014431.1","P31749","3MV5","X-ray","2.47","A","144-480"
"AKT1","207","NP_001014431.1","P31749","3MVH","X-ray","2.01","A","144-480"
"AKT1","207","NP_001014431.1","P31749","3O96","X-ray","2.70","A","2-443"
"AKT1","207","NP_001014431.1","P31749","3OCB","X-ray","2.70","A/B","144-480"
"AKT1","207","NP_001014431.1","P31749","3OW4","X-ray","2.60","A/B","144-480"
"AKT1","207","NP_001014432.1","P31749","1H10","X-ray","1.40","A","1-123"
"AKT1","207","NP_001014432.1","P31749","1UNP","X-ray","1.65","A","1-121"
"AKT1","207","NP_001014432.1","P31749","1UNQ","X-ray","0.98","A","1-123"
"AKT1","207","NP_001014432.1","P31749","1UNR","X-ray","1.25","A","1-123"
"AKT1","207","NP_001014432.1","P31749","2UVM","X-ray","1.94","A","1-123"
"AKT1","207","NP_001014432.1","P31749","2UZR","X-ray","1.94","A","1-123"
"AKT1","207","NP_001014432.1","P31749","2UZS","X-ray","2.46","A","1-123"
"AKT1","207","NP_001014432.1","P31749","3CQU","X-ray","2.20","A","144-480"
"AKT1","207","NP_001014432.1","P31749","3CQW","X-ray","2.00","A","144-480"
"AKT1","207","NP_001014432.1","P31749","3MV5","X-ray","2.47","A","144-480"
"AKT1","207","NP_001014432.1","P31749","3MVH","X-ray","2.01","A","144-480"
"AKT1","207","NP_001014432.1","P31749","3O96","X-ray","2.70","A","2-443"
"AKT1","207","NP_001014432.1","P31749","3OCB","X-ray","2.70","A/B","144-480"
"AKT1","207","NP_001014432.1","P31749","3OW4","X-ray","2.60","A/B","144-480"
"AKT1","207","NP_005154.2","P31749","1H10","X-ray","1.40","A","1-123"
"AKT1","207","NP_005154.2","P31749","1UNP","X-ray","1.65","A","1-121"
"AKT1","207","NP_005154.2","P31749","1UNQ","X-ray","0.98","A","1-123"
"AKT1","207","NP_005154.2","P31749","1UNR","X-ray","1.25","A","1-123"
"AKT1","207","NP_005154.2","P31749","2UVM","X-ray","1.94","A","1-123"
"AKT1","207","NP_005154.2","P31749","2UZR","X-ray","1.94","A","1-123"
"AKT1","207","NP_005154.2","P31749","2UZS","X-ray","2.46","A","1-123"
"AKT1","207","NP_005154.2","P31749","3CQU","X-ray","2.20","A","144-480"
"AKT1","207","NP_005154.2","P31749","3CQW","X-ray","2.00","A","144-480"
"AKT1","207","NP_005154.2","P31749","3MV5","X-ray","2.47","A","144-480"
"AKT1","207","NP_005154.2","P31749","3MVH","X-ray","2.01","A","144-480"
"AKT1","207","NP_005154.2","P31749","3O96","X-ray","2.70","A","2-443"
"AKT1","207","NP_005154.2","P31749","3OCB","X-ray","2.70","A/B","144-480"
"AKT1","207","NP_005154.2","P31749","3OW4","X-ray","2.60","A/B","144-480"
"ALDH1A2","8854","NP_001193826.1","-","-","-","0.00","-","-"
"ALDH1A2","8854","NP_003879.2","O94788","-","-","0.00","-","-"
"ALDH1A2","8854","NP_733797.1","O94788","-","-","0.00","-","-"
"ALDH1A2","8854","NP_733798.1","O94788","-","-","0.00","-","-"
"ALPPL2","251","NP_112603.2","P10696","-","-","0.00","-","-"
"ANXA2","302","NP_001002857.1","P07355","1W7B","X-ray","1.52","A","1-339"
"ANXA2","302","NP_001002857.1","P07355","1XJL","X-ray","2.59","A/B","21-338"
"ANXA2","302","NP_001002857.1","P07355","2HYU","X-ray","1.86","A","32-338"
"ANXA2","302","NP_001002857.1","P07355","2HYV","X-ray","1.42","A","32-338"
"ANXA2","302","NP_001002857.1","P07355","2HYW","X-ray","2.10","A/B","32-338"
"ANXA2","302","NP_001002858.1","P07355","1W7B","X-ray","1.52","A","1-339"
"ANXA2","302","NP_001002858.1","P07355","1XJL","X-ray","2.59","A/B","21-338"
"ANXA2","302","NP_001002858.1","P07355","2HYU","X-ray","1.86","A","32-338"
"ANXA2","302","NP_001002858.1","P07355","2HYV","X-ray","1.42","A","32-338"
"ANXA2","302","NP_001002858.1","P07355","2HYW","X-ray","2.10","A/B","32-338"
"ANXA2","302","NP_001129487.1","P07355","1W7B","X-ray","1.52","A","1-339"
"ANXA2","302","NP_001129487.1","P07355","1XJL","X-ray","2.59","A/B","21-338"
"ANXA2","302","NP_001129487.1","P07355","2HYU","X-ray","1.86","A","32-338"
"ANXA2","302","NP_001129487.1","P07355","2HYV","X-ray","1.42","A","32-338"
"ANXA2","302","NP_001129487.1","P07355","2HYW","X-ray","2.10","A/B","32-338"
"ANXA2","302","NP_004030.1","P07355","1W7B","X-ray","1.52","A","1-339"
"ANXA2","302","NP_004030.1","P07355","1XJL","X-ray","2.59","A/B","21-338"
"ANXA2","302","NP_004030.1","P07355","2HYU","X-ray","1.86","A","32-338"
"ANXA2","302","NP_004030.1","P07355","2HYV","X-ray","1.42","A","32-338"
"ANXA2","302","NP_004030.1","P07355","2HYW","X-ray","2.10","A/B","32-338"
"APC","324","NP_000029.2","P25054","1DEB","X-ray","2.40","A/B","Feb-55"
"APC","324","NP_000029.2","P25054","1EMU","X-ray","1.90","B","2034-2049"
"APC","324","NP_000029.2","P25054","1JPP","X-ray","3.10","C/D","1021-1035"
"APC","324","NP_000029.2","P25054","1M5I","X-ray","2.00","A","126-250"
"APC","324","NP_000029.2","P25054","1T08","X-ray","2.10","C","1484-1498"
"APC","324","NP_000029.2","P25054","1TH1","X-ray","2.50","C/D","1362-1540"
"APC","324","NP_000029.2","P25054","1V18","X-ray","2.10","B","1482-1528"
"APC","324","NP_000029.2","P25054","2RQU","NMR","0.00","B","1578-1596"
"APC","324","NP_001120982.1","P25054","1EMU","X-ray","1.90","B","2034-2049"
"APC","324","NP_001120982.1","P25054","1JPP","X-ray","3.10","C/D","1021-1035"
"APC","324","NP_001120982.1","P25054","1M5I","X-ray","2.00","A","126-250"
"APC","324","NP_001120982.1","P25054","1T08","X-ray","2.10","C","1484-1498"
"APC","324","NP_001120982.1","P25054","1TH1","X-ray","2.50","C/D","1362-1540"
"APC","324","NP_001120982.1","P25054","1V18","X-ray","2.10","B","1482-1528"
"APC","324","NP_001120982.1","P25054","2RQU","NMR","0.00","B","1578-1596"
"APC","324","NP_001120983.2","-","-","-","0.00","-","-"
"AR","367","NP_000035.2","P10275","1E3G","X-ray","2.40","A","657-919"
"AR","367","NP_000035.2","P10275","1GS4","X-ray","1.95","A","670-917"
"AR","367","NP_000035.2","P10275","1T5Z","X-ray","2.30","A","669-919"
"AR","367","NP_000035.2","P10275","1T63","X-ray","2.07","A","669-919"
"AR","367","NP_000035.2","P10275","1T65","X-ray","1.66","A","669-919"
"AR","367","NP_000035.2","P10275","1XJ7","X-ray","2.70","A","663-919"
"AR","367","NP_000035.2","P10275","1XOW","X-ray","1.80","A","671-919"
"AR","367","NP_000035.2","P10275","-","-","0.00","B","20-30"
"AR","367","NP_000035.2","P10275","1XQ3","X-ray","2.25","A","671-919"
"AR","367","NP_000035.2","P10275","1Z95","X-ray","1.80","A","672-916"
"AR","367","NP_000035.2","P10275","2AM9","X-ray","1.64","A","654-919"
"AR","367","NP_000035.2","P10275","2AMA","X-ray","1.90","A","654-919"
"AR","367","NP_000035.2","P10275","2AMB","X-ray","1.75","A","654-919"
"AR","367","NP_000035.2","P10275","2AO6","X-ray","1.89","A","671-919"
"AR","367","NP_000035.2","P10275","2AX6","X-ray","1.50","A","664-919"
"AR","367","NP_000035.2","P10275","2AX7","X-ray","1.90","A","664-919"
"AR","367","NP_000035.2","P10275","2AX8","X-ray","1.70","A","664-919"
"AR","367","NP_000035.2","P10275","2AX9","X-ray","1.65","A","664-919"
"AR","367","NP_000035.2","P10275","2AXA","X-ray","1.80","A","664-919"
"AR","367","NP_000035.2","P10275","2HVC","X-ray","2.10","A","669-918"
"AR","367","NP_000035.2","P10275","2OZ7","X-ray","1.80","A","671-919"
"AR","367","NP_000035.2","P10275","2PIO","X-ray","2.03","A","669-919"
"AR","367","NP_000035.2","P10275","2PIP","X-ray","1.80","L","669-919"
"AR","367","NP_000035.2","P10275","2PIQ","X-ray","2.40","A","669-919"
"AR","367","NP_000035.2","P10275","2PIR","X-ray","2.10","A","669-919"
"AR","367","NP_000035.2","P10275","2PIT","X-ray","1.76","A","669-919"
"AR","367","NP_000035.2","P10275","2PIU","X-ray","2.12","A","669-919"
"AR","367","NP_000035.2","P10275","2PIV","X-ray","1.95","A","669-919"
"AR","367","NP_000035.2","P10275","2PIW","X-ray","2.58","A","669-919"
"AR","367","NP_000035.2","P10275","2PIX","X-ray","2.40","A","669-919"
"AR","367","NP_000035.2","P10275","2PKL","X-ray","2.49","A","669-919"
"AR","367","NP_000035.2","P10275","2PNU","X-ray","1.65","A","654-919"
"AR","367","NP_000035.2","P10275","2Q7I","X-ray","1.87","A","663-919"
"AR","367","NP_000035.2","P10275","-","-","0.00","B","20-30"
"AR","367","NP_000035.2","P10275","2Q7J","X-ray","1.90","A","663-919"
"AR","367","NP_000035.2","P10275","2Q7K","X-ray","1.80","A","663-919"
"AR","367","NP_000035.2","P10275","-","-","0.00","B","20-30"
"AR","367","NP_000035.2","P10275","2Q7L","X-ray","1.92","A","663-919"
"AR","367","NP_000035.2","P10275","2Z4J","X-ray","2.60","A","671-918"
"AR","367","NP_000035.2","P10275","3B5R","X-ray","1.80","A","671-919"
"AR","367","NP_000035.2","P10275","3B65","X-ray","1.80","A","671-919"
"AR","367","NP_000035.2","P10275","3B66","X-ray","1.65","A","671-919"
"AR","367","NP_000035.2","P10275","3B67","X-ray","1.90","A","671-919"
"AR","367","NP_000035.2","P10275","3B68","X-ray","1.90","A","671-919"
"AR","367","NP_000035.2","P10275","3BTR","X-ray","2.60","B","621-635"
"AR","367","NP_000035.2","P10275","3L3X","X-ray","1.55","A","670-918"
"AR","367","NP_000035.2","P10275","3L3Z","X-ray","2.00","A","670-918"
"AR","367","NP_001011645.1","P10275","1E3G","X-ray","2.40","A","657-919"
"AR","367","NP_001011645.1","P10275","1GS4","X-ray","1.95","A","670-917"
"AR","367","NP_001011645.1","P10275","1T5Z","X-ray","2.30","A","669-919"
"AR","367","NP_001011645.1","P10275","1T63","X-ray","2.07","A","669-919"
"AR","367","NP_001011645.1","P10275","1T65","X-ray","1.66","A","669-919"
"AR","367","NP_001011645.1","P10275","1XJ7","X-ray","2.70","A","663-919"
"AR","367","NP_001011645.1","P10275","1XOW","X-ray","1.80","A","671-919"
"AR","367","NP_001011645.1","P10275","-","-","0.00","B","20-30"
"AR","367","NP_001011645.1","P10275","1XQ3","X-ray","2.25","A","671-919"
"AR","367","NP_001011645.1","P10275","1Z95","X-ray","1.80","A","672-916"
"AR","367","NP_001011645.1","P10275","2AM9","X-ray","1.64","A","654-919"
"AR","367","NP_001011645.1","P10275","2AMA","X-ray","1.90","A","654-919"
"AR","367","NP_001011645.1","P10275","2AMB","X-ray","1.75","A","654-919"
"AR","367","NP_001011645.1","P10275","2AO6","X-ray","1.89","A","671-919"
"AR","367","NP_001011645.1","P10275","2AX6","X-ray","1.50","A","664-919"
"AR","367","NP_001011645.1","P10275","2AX7","X-ray","1.90","A","664-919"
"AR","367","NP_001011645.1","P10275","2AX8","X-ray","1.70","A","664-919"
"AR","367","NP_001011645.1","P10275","2AX9","X-ray","1.65","A","664-919"
"AR","367","NP_001011645.1","P10275","2AXA","X-ray","1.80","A","664-919"
"AR","367","NP_001011645.1","P10275","2HVC","X-ray","2.10","A","669-918"
"AR","367","NP_001011645.1","P10275","2OZ7","X-ray","1.80","A","671-919"
"AR","367","NP_001011645.1","P10275","2PIO","X-ray","2.03","A","669-919"
"AR","367","NP_001011645.1","P10275","2PIP","X-ray","1.80","L","669-919"
"AR","367","NP_001011645.1","P10275","2PIQ","X-ray","2.40","A","669-919"
"AR","367","NP_001011645.1","P10275","2PIR","X-ray","2.10","A","669-919"
"AR","367","NP_001011645.1","P10275","2PIT","X-ray","1.76","A","669-919"
"AR","367","NP_001011645.1","P10275","2PIU","X-ray","2.12","A","669-919"
