"Gene_Name","Gene_ID","Homologene_ID","Species_Name","Hgene_Name","mRNA_ID","Protein_ID","Identity_Protein","Identity_DNA"
"ABCB1","5243","55496","H.sapiens","ABCB1","NM_000927.3","NP_000918.2","0.00","0.00"
"ABCB1","5243","55496","P.troglodytes","ABCB1","XM_001163342.1","XP_001163342.1","99.50","99.60"
"ABCB1","5243","55496","C.lupus","ABCB1","NM_001003215.1","NP_001003215.1","90.60","90.10"
"ABCB1","5243","55496","B.taurus","ABCB1","XM_590317.4","XP_590317.4","88.80","87.60"
"ABCB1","5243","55496","M.musculus","Abcb1a","NM_011076.1","NP_035206.1","87.50","86.00"
"ABCB1","5243","55496","R.norvegicus","Abcb1A","NM_133401.1","NP_596892.1","87.60","85.70"
"ABCB1","5243","55496","G.gallus","ABCB1","NM_204894.1","NP_990225.1","73.00","71.70"
"ABCB1","5243","55496","G.gallus","ABCB1","XM_418636.2","XP_418636.2","72.30","72.60"
"ABCB1","5243","55496","D.melanogaster","Mdr50","NM_079016.3","NP_523740.3","44.70","50.90"
"ABCB1","5243","55496","C.elegans","pgp-1","NM_070012.3","NP_502413.1","46.90","51.50"
"ABCB1","5243","55496","C.elegans","pgp-9","NM_075086.2","NP_507487.1","46.90","52.00"
"ABCB1","5243","55496","S.pombe","pmd1","NM_001023255.1","NP_588265.1","41.60","48.00"
"ABCB1","5243","55496","M.grisea","GeneID:2675205","XM_369103.2","XP_369103.2","42.00","48.60"
"ABCB1","5243","55496","N.crassa","NCU07546","XM_953966.2","XP_959059.2","43.60","49.70"
"ABCB1","5243","55496","A.thaliana","AT3G28345","NM_113754.2","NP_189475.1","39.50","48.80"
"ABCB1","5243","55496","A.thaliana","PGP17","NM_113758.1","NP_189479.1","38.40","47.80"
"ABCB1","5243","55496","A.thaliana","AT3G28415","NM_148757.1","NP_683599.1","38.60","48.20"
"ABCB1","5243","55496","A.thaliana","PGP18","NM_113759.1","NP_189480.1","38.40","48.30"
"ABCB1","5243","55496","A.thaliana","PGP16","NM_113756.5","NP_189477.4","38.30","48.20"
"ABCB1","5243","55496","O.sativa","Os02g0190300","NM_001052683.1","NP_001046148.1","39.70","47.70"
"ABCB1","5243","55496","O.sativa","Os02g0190000","NM_001052682.1","NP_001046147.1","39.90","47.70"
"ABCC3","8714","68364","H.sapiens","ABCC3","NM_003786.3","NP_003777.2","0.00","0.00"
"ABCC3","8714","68364","P.troglodytes","ABCC3","XM_001158914.1","XP_001158914.1","98.70","99.10"
"ABCC3","8714","68364","C.lupus","ABCC3","XM_548204.2","XP_548204.2","84.80","86.30"
"ABCC3","8714","68364","B.taurus","ABCC3","XM_612461.4","XP_612461.4","84.90","85.90"
"ABCC3","8714","68364","M.musculus","Abcc3","NM_029600.3","NP_083876.3","81.10","82.40"
"ABCC3","8714","68364","R.norvegicus","Abcc3","NM_080581.1","NP_542148.1","79.60","81.60"
"ABCC3","8714","68364","G.gallus","ABCC3","XM_420102.2","XP_420102.2","70.50","68.00"
"ABCC3","8714","68364","C.elegans","mrp-4","NM_077257.3","NP_509658.1","40.80","47.20"
"ABCC3","8714","68364","C.elegans","mrp-3","NM_078215.3","NP_510616.2","44.30","50.50"
"ABCC3","8714","68364","A.thaliana","ATMRP12","NM_102779.2","NP_174331.2","40.10","46.90"
"ABCC3","8714","68364","A.thaliana","ATMRP13","NM_102778.3","NP_174330.2","40.30","47.20"
"ACOT2","10965","25661","H.sapiens","ACOT2","NM_006821.4","NP_006812.3","0.00","0.00"
"ACOT2","10965","25661","P.troglodytes","ACOT2","XM_001152283.1","XP_001152283.1","98.60","98.60"
"ACOT2","10965","25661","C.lupus","ACOT2","XM_547892.2","XP_547892.2","81.30","84.70"
"ACOT2","10965","25661","B.taurus","ACOT2","NM_001101938.1","NP_001095408.1","81.20","85.70"
"ACOT2","10965","25661","B.taurus","ACOT2","XM_001253039.2","XP_001253040.1","78.20","83.60"
"ACOT2","10965","25661","M.musculus","Acot2","NM_134188.2","NP_598949.2","75.30","79.60"
"ACOT2","10965","25661","R.norvegicus","Acot2","NM_138907.2","NP_620262.2","75.10","79.30"
