"Gene_Name","Gene_ID","Contig","Location","HPRD_ID","HGNC_ID","Unigene_ID","Ensemble_ID","PharmGkB_ID","OMIM_ID","Homologene_ID"
"SERPINA3","12","NC_000014.8","95078714..95090390","HPRD:00120","16","534293;710488","ENSG00000196136","-","107280","111129"
"ADD3","120","NC_000010.10","111765726..111895323","HPRD:03339","245","501012","ENSG00000148700","-","601568","40893"
"PARP1","142","NC_000001.10","226548392..226595801; complement","HPRD:01435","270","177766","ENSG00000143799","PA32","173870","1222"
"AKT1","207","NC_000014.8","105235686..105262080; complement","HPRD:01261","391","525622","ENSG00000142208","PA24684","164730","3785"
"ALPPL2","251","NC_000002.11","233271552..233275424","HPRD:01380","441","333509","ENSG00000163286","-","171810","122137"
"ANXA2","302","NC_000015.9","60639350..60690185; complement","HPRD:01061","537","511605","ENSG00000182718","PA24827","151740","20857"
"APC","324","NC_000005.9","112043218..112181936","HPRD:01439","583","158932","ENSG00000134982","-","611731","30950"
"BIRC5","332","NC_000017.10","76210277..76221716","HPRD:04520","593","514527;728893","ENSG00000089685","-","603352","37450"
"Fas","355","NC_000010.10","90750288..90775542","HPRD:00609","11920","244139","ENSG00000026103","-","134637","27"
"AR","367","NC_000023.10","66763874..66944119","HPRD:02437","644","496240","ENSG00000169083","-","313700","28"
"AREG","374","NC_000004.11","75310853..75320726","HPRD:00093","651","270833","ENSG00000109321","-","104640","1252"
"RHOC","389","NC_000001.10","113243749..113250025; complement","HPRD:01322","669","502659;658289","ENSG00000155366","-","165380","90945"
"ATR","545","NC_000003.11","142168077..142297668; complement","HPRD:08369","882","271791","ENSG00000175054","-","601215","96916"
"KIF1A","547","NC_000002.11","241653184..241759624; complemen","HPRD:03156","888","516802","ENSG00000130294","-","601255","99729"
"CCND1","595","NC_000011.9","69455873..69469242","HPRD:01346","1582","523852;667996","ENSG00000110092","-","168461","1334"
"BCL2L1","598","NC_000020.10","30252261..30310656; complement","HPRD:02497","992","516966","ENSG00000171552","-","600039","7639"
"CEACAM1","634","NC_000019.9","43011458..43032661; complement","HPRD:00191","1814","512682","ENSG00000079385","-","109770","113536"
"FOXL2","668","NC_000003.11","138663066..138665982; complement","HPRD:05723","1092","289292","ENSG00000183770","-","605597","74992"
"BRAF","673","NC_000007.13","140433812..140624564; complement","HPRD:01264","1097","550061","ENSG00000157764","-","164757","3197"
"BST2","684","NC_000019.9","17513755..17516384; complement","HPRD:02759","1119","118110","ENSG00000130303","PA25436","600534","48277"
"C8A","731","NC_000001.10","57320443..57383894","HPRD:00409","1352","93210","ENSG00000157131","-","120950","472"
"DDR1","780","NC_000006.11","30851861..30867933","HPRD:02678","2730","631988","ENSG00000204580","PA24348","600408","68212"
"CAPG","822","NC_000002.11","85621871..85637676; complement","HPRD:01088","1474","516155","ENSG00000042493","PA26056","153615","37523"
"CAPZA1","829","NC_000001.10","113162075..113214241","HPRD:03347","1488","727604","ENSG00000116489","-","601580","24376"
