"Gene_Name","Gene_ID","Protein_ID","mRNA_ID","CCDS_ID","Trembl_ID","SwissProt_ID"
"ABCB1","5243","NP_000918.2","NM_000927.4","CCDS5608.1","A4D1D2","P08183"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","CCDS45739.1","Q86VN9","O15438"
"ABCC3","8714","NP_003777.2","NM_003786.3","CCDS32681.1","-","O15438"
"ACOT2","10965","NP_006812.3","NM_006821.4","CCDS9816.1","-","P49753"
"ADAM3","80332","NP_079496.1","NM_025220.2","CCDS13058.1","-","Q9BZ11"
"ADAM3","80332","NP_694882.1","NM_153202.1","-","-","Q9BZ11"
"ADAM9","8754","NP_003807.1","NM_003816.2","CCDS6112.1","-","Q13443"
"ADAMTS5","11096","NP_008969.2","NM_007038.3","CCDS13579.1","-","Q9UNA0"
"ADD3","120","NP_001112.2","NM_001121.2","CCDS7562.1","-","Q9UEY8"
"ADD3","120","NP_058432.1","NM_016824.3","CCDS7561.1","Q5VU08","Q9UEY8"
"ADD3","120","NP_063968.1","NM_019903.3","CCDS7562.1","-","Q9UEY8"
"AGR2","10551","NP_006399.1","NM_006408.3","CCDS5364.1","Q4JM46","O95994"
"AKT","207","NP_001014431.1","NM_001014431.1","CCDS9994.1","B0LPE5","P31749"
"AKT","207","NP_001014432.1","NM_001014432.1","CCDS9994.1","B0LPE5","P31749"
"AKT","207","NP_005154.2","NM_005163.2","CCDS9994.1","B0LPE5; B3KVH4","P31749"
"ALDH1A2","8854","NP_001193826.1","NM_001206897.1","-","-","-"
"ALDH1A2","8854","NP_003879.2","NM_003888.3","CCDS10163.1","-","O94788"
"ALDH1A2","8854","NP_733797.1","NM_170696.2","CCDS10164.1","-","O94788"
"ALDH1A2","8854","NP_733798.1","NM_170697.2","CCDS45266.1","E9PF31","O94788"
"ALPPL2","251","NP_112603.2","NM_031313.2","CCDS2491.1","-","P10696"
"ANXA2","302","NP_001002857.1","NM_001002857.1","CCDS10175.1","-","P07355"
"ANXA2","302","NP_001002858.1","NM_001002858.2","CCDS32256.1","-","P07355"
"ANXA2","302","NP_001129487.1","NM_001136015.2","CCDS10175.1","-","P07355"
"ANXA2","302","NP_004030.1","NM_004039.2","CCDS10175.1","-","P07355"
"APC","324","NP_000029.2","NM_000038.5","CCDS4107.1","Q4LE70","P25054"
"APC","324","NP_001120982.1","NM_001127510.2","CCDS4107.1","Q4LE70","P25054"
"APC","324","NP_001120983.2","NM_001127511.2","-","B7Z2B6; Q4LE70","-"
"AR","367","NP_000035.2","NM_000044.2","CCDS14387.1","Q9NUA2","P10275"
"AR","367","NP_001011645.1","NM_001011645.1","CCDS43965.1","-","P10275"
"AREG","374","NP_001648.1","NM_001657.2","CCDS3565.1","Q5U026","P15514"
"ARL4A","10124","NP_001032241.1","NM_001037164.2","CCDS5359.1","-","P40617"
"ARL4A","10124","NP_001182325.1","NM_001195396.1","-","-","P40617"
"ARL4A","10124","NP_005729.1","NM_005738.4","CCDS5359.1","-","P40617"
"ARL4A","10124","NP_997625.1","NM_212460.3","CCDS5359.1","-","P40617"
"ASRGL1","80150","NP_001077395.1","NM_001083926.1","CCDS8019.1","-","Q7L266"
"ASRGL1","80150","NP_079356.3","NM_025080.3","CCDS8019.1","-","Q7L266"
"ATAD2","29028","NP_054828.2","NM_014109.3","CCDS6343.1","-","Q6PL18"
"ATP2C2","9914","NP_055676.2","NM_014861.2","CCDS42207.1","Q5HYC3","O75185"
"ATP8A2","51761","NP_057613.4","NM_016529.4","CCDS41873.1","Q6ZSP3; Q6ZU25","Q9NTI2"
"ATP8B2","57198","NP_001005855.1","NM_001005855.1","CCDS41405.1","-","P98198"
"ATP8B2","57198","NP_065185.1","NM_020452.3","CCDS1066.1","Q6P3T1","P98198"
"ATP9B","374868","NP_940933.3","NM_198531.3","CCDS12014.1","B3KSI8; Q69YZ7; Q7Z3J4","O43861"
"ATR","545","NP_001175.2","NM_001184.3","CCDS3124.1","-","Q13535"
"B3GAT3","26229","NP_036332.2","NM_012200.3","CCDS8025.1","-","O94766"
"BAMBI","25805","NP_036474.1","NM_012342.2","CCDS7162.1","-","Q13145"
"BCAM","4059","NP_001013275.1","NM_001013257.1","CCDS42575.1","-","P50895"
"BCAM","4059","NP_005572.2","NM_005581.3","CCDS12644.1","-","P50895"
"BCL2L1","598","NP_001182.1","NM_001191.2","CCDS13188.1","Q5TE63","Q07817"
"BCL2L1","598","NP_612815.1","NM_138578.1","CCDS13189.1","-","Q07817"
"BEX5","340542","NP_001012996.1","NM_001012978.2","CCDS35350.1","-","Q5H9J7"
"BEX5","340542","NP_001153032.1","NM_001159560.1","CCDS35350.1","-","Q5H9J7"
"BIRC5","332","NP_001012270.1","NM_001012270.1","CCDS32751.1","-","O15392"
"BIRC5","332","NP_001012271.1","NM_001012271.1","CCDS32752.1","-","O15392"
"BIRC5","332","NP_001159.2","NM_001168.2","CCDS11755.1","-","O15392"
"BRAF","673","NP_004324.2","NM_004333.4","CCDS5863.1","-","P15056"
"BST2","684","NP_004326.1","NM_004335.2","CCDS12358.1","-","Q10589"
"BTN2A1","11120","NP_001184162.1","NM_001197233.1","-","B4DLP9","Q7KYR7"
"BTN2A1","11120","NP_001184163.1","NM_001197234.1","-","E9PGR4; Q59EN4","-"
"BTN2A1","11120","NP_008980.1","NM_007049.3","CCDS4613.1","-","Q7KYR7"
"BTN2A1","11120","NP_510961.1","NM_078476.2","CCDS47390.1","Q96AV7","-"
"C19ORF33","64073","NP_277055.1","NM_033520.1","CCDS12511.1","-","Q9GZP8"
"C1QTNF3","114899","NP_112207.1","NM_030945.3","CCDS3904.1","Q542Y2","Q9BXJ4"
"C1QTNF3","114899","NP_852100.3","NM_181435.5","CCDS34141.1","Q0VAN4","-"
"C20orf32","25927","NP_001104571.1","NM_001111101.1","CCDS46311.1","-","Q96F85"
"C20orf32","25927","NP_056278.1","NM_015463.2","CCDS1886.1","-","Q96F85"
"C8A","731","NP_000553.1","NM_000562.2","CCDS606.1","-","P07357"
"CAPG","822","NP_001738.2","NM_001747.2","CCDS1974.1","-","P40121"
"CAPZA1","829","NP_006126.1","NM_006135.2","CCDS30805.1","-","P52907"
"CASC2","255082","","NM_178816.2","-","-","-"
"CASC2","255082","","NM_201377.1","-","-","-"
"CASP3","836","NP_004337.2","NM_004346.3","CCDS3836.1","-","P42574"
"CASP3","836","NP_116786.1","NM_032991.2","CCDS3836.1","-","P42574"
"CASP7","840","NP_001218.1","NM_001227.3","CCDS7581.1","-","P55210"
