"Gene_Name","Gene_ID","Protein_ID","Domain_No","Range","Superfamily","Family"
"ABCB1","5243","NP_000918.2","3","39-376","ABC transporter transmembrane region","ABC transporter transmembrane region"
"ABCB1","5243","NP_000918.2","1","383-629","P-loop containing nucleoside triphosphate hydrolases","ABC transporter ATPase domain-like"
"ABCB1","5243","NP_000918.2","4","699-1008","ABC transporter transmembrane region","ABC transporter transmembrane region"
"ABCB1","5243","NP_000918.2","2","1026-1274","P-loop containing nucleoside triphosphate hydrolases","ABC transporter ATPase domain-like"
"ABCC3","8714","NP_001137542.1","1","300-545","ABC transporter transmembrane region","ABC transporter transmembrane region"
"ABCC3","8714","NP_003777.2","4","295-610","ABC transporter transmembrane region","ABC transporter transmembrane region"
"ABCC3","8714","NP_003777.2","2","623-849","P-loop containing nucleoside triphosphate hydrolases","ABC transporter ATPase domain-like"
"ABCC3","8714","NP_003777.2","3","972-1269","ABC transporter transmembrane region","ABC transporter transmembrane region"
"ABCC3","8714","NP_003777.2","1","1281-1521","P-loop containing nucleoside triphosphate hydrolases","ABC transporter ATPase domain-like"
"ACOT2","10965","NP_006812.3","1","129-427;458-480","alpha/beta-Hydrolases","Lipase"
"ADAM3","80332","NP_079496.1","1","209-409",""Metalloproteases (""zincins""); catalytic domain"","Reprolysin-like"
"ADAM3","80332","NP_079496.1","2","426-501","Blood coagulation inhibitor (disintegrin)","Blood coagulation inhibitor (disintegrin)"
"ADAM3","80332","NP_694882.1","1","209-409",""Metalloproteases (""zincins""); catalytic domain"","Reprolysin-like"
"ADAM3","80332","NP_694882.1","2","426-501","Blood coagulation inhibitor (disintegrin)","Blood coagulation inhibitor (disintegrin)"
"ADAM9","8754","NP_003807.1","1","211-404",""Metalloproteases (""zincins""); catalytic domain"","Reprolysin-like"
"ADAM9","8754","NP_003807.1","2","423-499","Blood coagulation inhibitor (disintegrin)","Blood coagulation inhibitor (disintegrin)"
"ADAMTS5","11096","NP_008969.2","1","265-474",""Metalloproteases (""zincins""); catalytic domain"","Reprolysin-like"
"ADAMTS5","11096","NP_008969.2","2","567-621","TSP-1 type 1 repeat","TSP-1 type 1 repeat"
"ADAMTS5","11096","NP_008969.2","3","877-930","TSP-1 type 1 repeat","TSP-1 type 1 repeat"
"ADD3","120","NP_001112.2","1","134-326","AraD/HMP-PK domain-like","AraD-like aldolase/epimerase"
"ADD3","120","NP_058432.1","1","134-326","AraD/HMP-PK domain-like","AraD-like aldolase/epimerase"
"ADD3","120","NP_063968.1","1","134-326","AraD/HMP-PK domain-like","AraD-like aldolase/epimerase"
"AGR2","10551","NP_006399.1","1","49-146","Thioredoxin-like","Thioltransferase"
"AKT1","207","NP_001014431.1","2","1-113","PH domain-like","Pleckstrin-homology domain (PH domain)"
"AKT1","207","NP_001014431.1","1","145-459","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"AKT1","207","NP_001014432.1","2","1-113","PH domain-like","Pleckstrin-homology domain (PH domain)"
"AKT1","207","NP_001014432.1","1","145-459","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"AKT1","207","NP_005154.2","2","1-113","PH domain-like","Protein kinases; catalytic subunit"
"AKT1","207","NP_005154.2","1","145-459","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"ALDH1A2","8854","NP_001193826.1","1","13-492","ALDH-like","ALDH-like"
"ALDH1A2","8854","NP_003879.2","1","28-513","ALDH-like","ALDH-like"
"ALDH1A2","8854","NP_733797.1","1","28-475","ALDH-like","ALDH-like"
"ALDH1A2","8854","NP_733798.1","1","1-417","ALDH-like","ALDH-like"
"ALPPL2","251","NP_112603.2","1","21-493","Alkaline phosphatase-like","Alkaline phosphatase"
"ANXA2","302","NP_001002857.1","1","17-336","Annexin","Annexin"
"ANXA2","302","NP_001002858.1","1","34-354","Annexin","Annexin"
"ANXA2","302","NP_001129487.1","1","17-336","Annexin","Annexin"
"ANXA2","302","NP_004030.1","1","17-336","Annexin","Annexin"
"APC","324","NP_000029.2","3","3-54","N-terminal coiled coil domain from apc","N-terminal coiled coil domain from apc"
"APC","324","NP_000029.2","1","130-239","Tumor suppressor gene product Apc","Tumor suppressor gene product Apc"
"APC","324","NP_000029.2","2","350-745","ARM repeat","Armadillo repeat"
"APC","324","NP_001120982.1","3","3-54","N-terminal coiled coil domain from apc","N-terminal coiled coil domain from apc"
"APC","324","NP_001120982.1","1","130-239","Tumor suppressor gene product Apc","Tumor suppressor gene product Apc"
"APC","324","NP_001120982.1","2","350-745","ARM repeat","Armadillo repeat"
"APC","324","NP_001120983.2","2","140-226","Tumor suppressor gene product Apc","Tumor suppressor gene product Apc"
"APC","324","NP_001120983.2","1","332-727","ARM repeat","Armadillo repeat"
"AR","367","NP_000035.2","2","557-634","Glucocorticoid receptor-like (DNA-binding domain)","Nuclear receptor"
"AR","367","NP_000035.2","1","674-918","Nuclear receptor ligand-binding domain","Nuclear receptor ligand-binding domain"
"AR","367","NP_001011645.1","2","25-102","Glucocorticoid receptor-like (DNA-binding domain)","Nuclear receptor"
"AR","367","NP_001011645.1","1","142-386","Nuclear receptor ligand-binding domain","Nuclear receptor ligand-binding domain"
"AREG","374","NP_001648.1","1","141-186","EGF/Laminin","EGF-type module"
"AREG","374","NP_001648.1","1","141-186","EGF/Laminin","EGF-type module"
"ARL4A","10124","NP_001032241.1","1","21-191","P-loop containing nucleoside triphosphate hydrolases","G proteins"
"ARL4A","10124","NP_001182325.1","1","21-191","P-loop containing nucleoside triphosphate hydrolases","G proteins"
"ARL4A","10124","NP_005729.1","1","21-191","P-loop containing nucleoside triphosphate hydrolases","G proteins"
"ARL4A","10124","NP_997625.1","1","21-191","P-loop containing nucleoside triphosphate hydrolases","G proteins"
"ASRGL1","80150","NP_001077395.1","1","18-295","N-terminal nucleophile aminohydrolases (Ntn hydrolases)","(Glycosyl)asparaginase"
"ASRGL1","80150","NP_079356.3","1","18-295","N-terminal nucleophile aminohydrolases (Ntn hydrolases)","(Glycosyl)asparaginase"
"ATAD2","29028","NP_054828.2","1","423-688","P-loop containing nucleoside triphosphate hydrolases","Extended AAA-ATPase domain"
"ATAD2","29028","NP_054828.2","3","790-940;967-1025","P-loop containing nucleoside triphosphate hydrolases","Extended AAA-ATPase domain"
"ATAD2","29028","NP_054828.2","2","964-1097","Bromodomain","Bromodomain"
"ATAD2","29028","NP_054828.2","0","251-290","ARM repeat","GUN4-associated domain"
"ATP2C2","9914","NP_055676.2","4","167-277","Calcium ATPase; transduction domain A","Calcium ATPase; transduction domain A"
"ATP2C2","9914","NP_055676.2","3","383-582","Metal cation-transporting ATPase; ATP-binding domain N","Metal cation-transporting ATPase; ATP-binding domain N"
"ATP2C2","9914","NP_055676.2","2","375-395;537-775","HAD-like","Meta-cation ATPase; catalytic domain P"
"ATP2C2","9914","NP_055676.2","1","58-168;278-371;722-9","Calcium ATPase; transmembrane domain M","Calcium ATPase; transmembrane domain M"
"ATP8A2","51761","NP_057613.4","4","152-222;258-298","Calcium ATPase; transduction domain A","Calcium ATPase; transduction domain A"
"ATP8A2","51761","NP_057613.4","3","432-462;495-686","Metal cation-transporting ATPase; ATP-binding domain N","Metal cation-transporting ATPase; ATP-binding domain N"
"ATP8A2","51761","NP_057613.4","2","414-438;626-735;783-","HAD-like","Meta-cation ATPase; catalytic domain P"
"ATP8A2","51761","NP_057613.4","1","64-155;300-420;868-1","Calcium ATPase; transmembrane domain M","Calcium ATPase; transmembrane domain M"
"ATP8B2","57198","NP_001005855.1","2","112-183;218-258","Calcium ATPase; transduction domain A","Calcium ATPase; transduction domain A"
