"Gene_Name","Gene_ID","Protein_ID","Family_A","Description_A","Entry_Type_A","Clan_A","Envelope_Start_A","Envelope_End_A","Alignment_Start_A","ALignment_End_A","HMM_From_A","HMM_To_A","BIT_Score_A","E_Value_A","Predicted_Active_Sites"
"ABCB1","5243","NP_000918.2","ABC_tran","ABC transporter","Domain","CL0023","434","559","434","559","1","118","87.60","6.00E-25","n/a"
"ABCB1","5243","NP_000918.2","ABC_tran","ABC transporter","Domain","CL0023","1077","1204","1077","1204","1","118","79.40","2.00E-22","n/a"
"ABCB1","5243","NP_000918.2","ABC_membrane","ABC transporter transmembrane region","Family","CL0241","51","345","52","345","2","275","314.50","4.90E-94","n/a"
"ABCB1","5243","NP_000918.2","ABC_membrane","ABC transporter transmembrane region","Family","CL0241","711","991","715","988","1","272","230.00","2.80E-68","n/a"
"ABCC3","8714","NP_003777.2","ABC_tran","ABC transporter","Domain","CL0023","668","779","668","778","1","117","55.00","7.60E-15","n/a"
"ABCC3","8714","NP_003777.2","ABC_tran","ABC transporter","Domain","CL0023","1330","1454","1333","1454","4","118","61.00","1.00E-16","n/a"
"ABCC3","8714","NP_001137542.1","ABC_membrane","ABC transporter transmembrane region","Family","CL0241","311","552","312","545","2","238","123.20","1.00E-35","n/a"
"ABCC3","8714","NP_003777.2","ABC_membrane","ABC transporter transmembrane region","Family","CL0241","311","582","312","582","2","275","132.20","1.90E-38","n/a"
"ABCC3","8714","NP_003777.2","ABC_membrane","ABC transporter transmembrane region","Family","CL0241","965","1240","973","1240","3","275","137.80","3.50E-40","n/a"
"ACOT2","10965","NP_006812.3","Bile_Hydr_Trans","Acyl-CoA thioester hydrolase/BAAT N-terminal region","Family","n/a","77","204","77","203","1","125","125.40","8.00E-37","n/a"
"ACOT2","10965","NP_006812.3","BAAT_C","BAAT / Acyl-CoA thioester hydrolase C terminal","Domain","CL0028","265","474","266","473","2","212","297.20","5.30E-89","388;294;422"
"ADAM3","80332","NP_079496.1","ADAM_CR","ADAM cysteine-rich","Family","n/a","503","621","503","611","1","105","105.60","1.30E-30","n/a"
"ADAM3","80332","NP_694882.1","ADAM_CR","ADAM cysteine-rich","Family","n/a","503","621","503","611","1","105","105.60","1.30E-30","n/a"
"ADAM3","80332","NP_079496.1","Disintegrin","Disintegrin","Domain","n/a","426","501","426","500","1","75","82.30","1.70E-23","n/a"
"ADAM3","80332","NP_694882.1","Disintegrin","Disintegrin","Domain","n/a","426","501","426","500","1","75","82.30","1.70E-23","n/a"
"ADAM3","80332","NP_079496.1","Reprolysin","Reprolysin (M12B) family zinc metalloprotease","Domain","CL0126","210","409","210","409","1","199","205.70","4.30E-61","346"
"ADAM3","80332","NP_694882.1","Reprolysin","Reprolysin (M12B) family zinc metalloprotease","Domain","CL0126","210","409","210","409","1","199","205.70","4.30E-61","346"
"ADAM3","80332","NP_079496.1","Pep_M12B_propep","Reprolysin family propeptide","Family","n/a","37","167","40","165","4","132","104.50","2.80E-30","n/a"
"ADAM3","80332","NP_694882.1","Pep_M12B_propep","Reprolysin family propeptide","Family","n/a","37","167","40","165","4","132","104.50","2.80E-30","n/a"
"ADAM9","8754","NP_003807.1","ADAM_CR","ADAM cysteine-rich","Family","n/a","501","617","501","617","1","117","128.90","7.50E-38","n/a"
"ADAM9","8754","NP_003807.1","Disintegrin","Disintegrin","Domain","n/a","423","499","423","498","1","75","78.60","2.40E-22","n/a"
"ADAM9","8754","NP_003807.1","Reprolysin","Reprolysin (M12B) family zinc metalloprotease","Domain","CL0126","212","406","212","406","1","199","225.00","5.00E-67","348"
"ADAM9","8754","NP_003807.1","Pep_M12B_propep","Reprolysin family propeptide","Family","n/a","43","163","43","163","1","134","128.60","1.00E-37","n/a"
