"Gene_Name","Gene_ID","Protein_ID","mRNA_ID","Start","End","Exon_Intron","Orientation","UTR_CDS","Length"
"ABCB1","5243","NP_000918.2","NM_000927.4","87132948","87133558","exon","-","UTR","611"
"ABCB1","5243","NP_000918.2","NM_000927.4","87133559","87133765","exon","-","CDS","207"
"ABCB1","5243","NP_000918.2","NM_000927.4","87133766","87135212","intron","-","-","1447"
"ABCB1","5243","NP_000918.2","NM_000927.4","87135213","87135359","exon","-","CDS","147"
"ABCB1","5243","NP_000918.2","NM_000927.4","87135360","87138590","intron","-","-","3231"
"ABCB1","5243","NP_000918.2","NM_000927.4","87138591","87138797","exon","-","CDS","207"
"ABCB1","5243","NP_000918.2","NM_000927.4","87138798","87144546","intron","-","-","5749"
"ABCB1","5243","NP_000918.2","NM_000927.4","87144547","87144744","exon","-","CDS","198"
"ABCB1","5243","NP_000918.2","NM_000927.4","87144745","87145824","intron","-","-","1080"
"ABCB1","5243","NP_000918.2","NM_000927.4","87145825","87145981","exon","-","CDS","157"
"ABCB1","5243","NP_000918.2","NM_000927.4","87145982","87148641","intron","-","-","2660"
"ABCB1","5243","NP_000918.2","NM_000927.4","87148642","87148782","exon","-","CDS","141"
"ABCB1","5243","NP_000918.2","NM_000927.4","87148783","87150091","intron","-","-","1309"
"ABCB1","5243","NP_000918.2","NM_000927.4","87150092","87150192","exon","-","CDS","101"
"ABCB1","5243","NP_000918.2","NM_000927.4","87150193","87160609","intron","-","-","10417"
"ABCB1","5243","NP_000918.2","NM_000927.4","87160610","87160813","exon","-","CDS","204"
"ABCB1","5243","NP_000918.2","NM_000927.4","87160814","87165773","intron","-","-","4960"
"ABCB1","5243","NP_000918.2","NM_000927.4","87165774","87165857","exon","-","CDS","84"
"ABCB1","5243","NP_000918.2","NM_000927.4","87165858","87168583","intron","-","-","2726"
"ABCB1","5243","NP_000918.2","NM_000927.4","87168584","87168661","exon","-","CDS","78"
"ABCB1","5243","NP_000918.2","NM_000927.4","87168662","87170672","intron","-","-","2011"
"ABCB1","5243","NP_000918.2","NM_000927.4","87170673","87170780","exon","-","CDS","108"
"ABCB1","5243","NP_000918.2","NM_000927.4","87170781","87173444","intron","-","-","2664"
"ABCB1","5243","NP_000918.2","NM_000927.4","87173445","87173591","exon","-","CDS","147"
"ABCB1","5243","NP_000918.2","NM_000927.4","87173592","87174138","intron","-","-","547"
"ABCB1","5243","NP_000918.2","NM_000927.4","87174139","87174315","exon","-","CDS","177"
"ABCB1","5243","NP_000918.2","NM_000927.4","87174316","87175178","intron","-","-","863"
"ABCB1","5243","NP_000918.2","NM_000927.4","87175179","87175340","exon","-","CDS","162"
"ABCB1","5243","NP_000918.2","NM_000927.4","87175341","87178663","intron","-","-","3323"
"ABCB1","5243","NP_000918.2","NM_000927.4","87178664","87178834","exon","-","CDS","171"
"ABCB1","5243","NP_000918.2","NM_000927.4","87178835","87179166","intron","-","-","332"
"ABCB1","5243","NP_000918.2","NM_000927.4","87179167","87179370","exon","-","CDS","204"
"ABCB1","5243","NP_000918.2","NM_000927.4","87179371","87179486","intron","-","-","116"
"ABCB1","5243","NP_000918.2","NM_000927.4","87179487","87179612","exon","-","CDS","126"
"ABCB1","5243","NP_000918.2","NM_000927.4","87179613","87179783","intron","-","-","171"
"ABCB1","5243","NP_000918.2","NM_000927.4","87179784","87179894","exon","-","CDS","111"
"ABCB1","5243","NP_000918.2","NM_000927.4","87179895","87180040","intron","-","-","146"
"ABCB1","5243","NP_000918.2","NM_000927.4","87180041","87180154","exon","-","CDS","114"
"ABCB1","5243","NP_000918.2","NM_000927.4","87180155","87183076","intron","-","-","2922"
"ABCB1","5243","NP_000918.2","NM_000927.4","87183077","87183248","exon","-","CDS","172"
"ABCB1","5243","NP_000918.2","NM_000927.4","87183249","87190578","intron","-","-","7330"
"ABCB1","5243","NP_000918.2","NM_000927.4","87190579","87190703","exon","-","CDS","125"
"ABCB1","5243","NP_000918.2","NM_000927.4","87190704","87195385","intron","-","-","4682"
"ABCB1","5243","NP_000918.2","NM_000927.4","87195386","87195557","exon","-","CDS","172"
"ABCB1","5243","NP_000918.2","NM_000927.4","87195558","87196100","intron","-","-","543"
"ABCB1","5243","NP_000918.2","NM_000927.4","87196101","87196292","exon","-","CDS","192"
"ABCB1","5243","NP_000918.2","NM_000927.4","87196293","87199487","intron","-","-","3195"
"ABCB1","5243","NP_000918.2","NM_000927.4","87199488","87199539","exon","-","CDS","52"
"ABCB1","5243","NP_000918.2","NM_000927.4","87199540","87214827","intron","-","-","15288"
"ABCB1","5243","NP_000918.2","NM_000927.4","87214828","87214996","exon","-","CDS","169"
"ABCB1","5243","NP_000918.2","NM_000927.4","87214997","87225081","intron","-","-","10085"
"ABCB1","5243","NP_000918.2","NM_000927.4","87225082","87225130","exon","-","CDS","49"
"ABCB1","5243","NP_000918.2","NM_000927.4","87225131","87229432","intron","-","-","4302"
"ABCB1","5243","NP_000918.2","NM_000927.4","87229433","87229500","exon","-","CDS","68"
"ABCB1","5243","NP_000918.2","NM_000927.4","87229501","87229506","exon","-","UTR","6"
"ABCB1","5243","NP_000918.2","NM_000927.4","87229507","87230070","intron","-","-","564"
"ABCB1","5243","NP_000918.2","NM_000927.4","87230071","87230394","exon","-","UTR","324"
"ABCB1","5243","NP_000918.2","NM_000927.4","87230395","87342476","intron","-","-","112082"
"ABCB1","5243","NP_000918.2","NM_000927.4","87342477","87342564","exon","-","UTR","88"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48712218","48712297","exon","+","UTR","80"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48712298","48712342","exon","+","CDS","45"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48712343","48733192","intron","+","-","20850"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48733193","48733369","exon","+","CDS","177"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48733370","48734062","intron","+","-","693"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48734063","48734188","exon","+","CDS","126"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48734189","48734406","intron","+","-","218"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48734407","48734544","exon","+","CDS","138"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48734545","48735442","intron","+","-","898"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48735443","48735568","exon","+","CDS","126"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48735569","48735795","intron","+","-","227"
"ABCC3","8714","NP_001137542.1","NM_001144070.1","48735796","48735857","exon","+","CDS","62"
